percentile,income
1,0
2,350
3,4000
4,7812
5,10002
6,11644
7,13011
8,14405
9,15793
10,17200
11,18622
12,20000
13,21005
14,22441
15,24000
16,25000
17,26236
18,27938
19,29202
20,30003
21,31386
22,32772
23,34201
24,35203
25,36837
26,38226
27,40000
28,40693
29,42075
30,43871
31,45036
32,46838
33,48242
34,50000
35,50598
36,52098
37,53859
38,55176
39,56842
40,58401
41,60000
42,61051
43,62968
44,64878
45,66046
46,68050
47,70000
48,71152
49,73057
50,75000
51,76230
52,78401
53,80018
54,81992
55,84082
56,86000
57,88191
58,90033
59,92086
60,94726
61,96864
62,99182
63,100645
64,103000
65,105221
66,108010
67,110439
68,113215
69,115843
70,119230
71,121156
72,124767
73,127545
74,130506
75,134009
76,137500
77,141002
78,145237
79,150002
80,153210
81,157530
82,162021
83,167288
84,173000
85,178801
86,184828
87,191612
88,199076
89,206091
90,216022
91,225740
92,239190
93,253006
94,270552
95,294310
96,323220
97,367534
98,435994
99,591214
